decade	Country	Number of Records	Year	child_mortality	child_mortality_rate	fertility	gdp	gdp_growth	life	pop_growth	population	region
01/01/1960	Afghanistan	1	01/01/1964	339.7	0.3397	7.671	1182		33.639		10474903	South Asia
01/01/1960	Afghanistan	1	01/01/1965	334.1	0.3341	7.671	1182	0	34.152	0.021297	10697983	South Asia
01/01/1960	Afghanistan	1	01/01/1966	328.7	0.3287	7.671	1168	-0.011844332	34.662	0.021475	10927724	South Asia
01/01/1960	Afghanistan	1	01/01/1967	323.3	0.3233	7.671	1173	0.004280822	35.17	0.02159	11163656	South Asia
01/01/1960	Afghanistan	1	01/01/1968	318.1	0.3181	7.671	1187	0.011935209	35.674	0.022158	11411022	South Asia
01/01/1960	Afghanistan	1	01/01/1969	313	0.313	7.671	1178	-0.00758214	36.172	0.023308	11676990	South Asia
01/01/1970	Afghanistan	1	01/01/1970	307.8	0.3078	7.671	1174	-0.003395586	36.663	0.024657	11964906	South Asia
01/01/1970	Afghanistan	1	01/01/1971	302.1	0.3021	7.671	1092	-0.069846678	37.143	0.025758	12273101	South Asia
01/01/1970	Afghanistan	1	01/01/1972	296.4	0.2964	7.671	1046	-0.042124542	37.614	0.026121	12593688	South Asia
01/01/1970	Afghanistan	1	01/01/1973	290.8	0.2908	7.671	1137	0.086998088	38.075	0.025553	12915499	South Asia
01/01/1970	Afghanistan	1	01/01/1974	284.9	0.2849	7.671	1170	0.029023747	38.529	0.023881	13223928	South Asia
01/01/1970	Afghanistan	1	01/01/1975	279.4	0.2794	7.671	1201	0.026495726	38.977	0.021296	13505544	South Asia
01/01/1970	Afghanistan	1	01/01/1976	273.6	0.2736	7.67	1231	0.024979184	39.417	0.019344	13766792	South Asia
01/01/1970	Afghanistan	1	01/01/1977	267.8	0.2678	7.67	1119	-0.090982941	39.855	0.017187	14003408	South Asia
01/01/1970	Afghanistan	1	01/01/1978	261.6	0.2616	7.67	1179	0.053619303	40.298	0.012586	14179656	South Asia
01/01/1970	Afghanistan	1	01/01/1979	255.5	0.2555	7.669	1155	-0.020356234	40.756	0.004925	14249493	South Asia
01/01/1980	Afghanistan	1	01/01/1980	249.1	0.2491	7.669	1158	0.002597403	41.242	-0.004475	14185729	South Asia
01/01/1980	Afghanistan	1	01/01/1981	242.7	0.2427	7.67	1284	0.10880829	41.77	-0.014214	13984092	South Asia
01/01/1980	Afghanistan	1	01/01/1982	236.2	0.2362	7.671	1402	0.091900312	42.347	-0.022255	13672870	South Asia
01/01/1980	Afghanistan	1	01/01/1983	229.7	0.2297	7.673	1454	0.037089872	42.977	-0.027267	13300056	South Asia
01/01/1980	Afghanistan	1	01/01/1984	222.9	0.2229	7.676	1429	-0.017193948	43.661	-0.027689	12931791	South Asia
01/01/1980	Afghanistan	1	01/01/1985	216	0.216	7.679	1384	-0.031490553	44.4	-0.023701	12625292	South Asia
01/01/1980	Afghanistan	1	01/01/1986	209.2	0.2092	7.681	1486	0.073699422	45.192	-0.020053	12372113	South Asia
01/01/1980	Afghanistan	1	01/01/1987	202.1	0.2021	7.682	1230	-0.172274563	46.024	-0.015254	12183387	South Asia
01/01/1980	Afghanistan	1	01/01/1988	195	0.195	7.682	1113	-0.095121951	46.88	-0.002192	12156685	South Asia
01/01/1980	Afghanistan	1	01/01/1989	187.8	0.1878	7.682	1087	-0.023360288	47.744	0.021223	12414686	South Asia
01/01/1990	Afghanistan	1	01/01/1990	181	0.181	7.687	1028	-0.054277829	48.601	0.049737	13032161	South Asia
01/01/1990	Afghanistan	1	01/01/1991	174.2	0.1742	7.7	1022	-0.005836576	49.439	0.079626	14069854	South Asia
01/01/1990	Afghanistan	1	01/01/1992	167.8	0.1678	7.725	941	-0.07925636	50.247	0.099661	15472076	South Asia
01/01/1990	Afghanistan	1	01/01/1993	162	0.162	7.758	810	-0.139213603	51.017	0.102193	17053213	South Asia
01/01/1990	Afghanistan	1	01/01/1994	156.8	0.1568	7.796	725	-0.104938272	51.738	0.087995	18553819	South Asia
01/01/1990	Afghanistan	1	01/01/1995	152.3	0.1523	7.832	872	0.202758621	52.4	0.06662	19789880	South Asia
01/01/1990	Afghanistan	1	01/01/1996	148.6	0.1486	7.859	895	0.026376147	52.995	0.04523	20684982	South Asia
01/01/1990	Afghanistan	1	01/01/1997	145.5	0.1455	7.869	921	0.029050279	53.527	0.029701	21299350	South Asia
01/01/1990	Afghanistan	1	01/01/1998	142.6	0.1426	7.854	947	0.028230185	54.009	0.021264	21752257	South Asia
01/01/1990	Afghanistan	1	01/01/1999	139.9	0.1399	7.809	972	0.026399155	54.449	0.02185	22227543	South Asia
01/01/2000	Afghanistan	1	01/01/2000	137	0.137	7.733	962	-0.010288066	54.863	0.028287	22856302	South Asia
01/01/2000	Afghanistan	1	01/01/2001	133.8	0.1338	7.623	862	-0.103950104	55.271	0.035924	23677385	South Asia
01/01/2000	Afghanistan	1	01/01/2002	130.3	0.1303	7.484	1053	0.221577726	55.687	0.040649	24639841	South Asia
01/01/2000	Afghanistan	1	01/01/2003	126.8	0.1268	7.321	1097	0.041785375	56.122	0.042159	25678639	South Asia
01/01/2000	Afghanistan	1	01/01/2004	123.2	0.1232	7.136	1067	-0.027347311	56.583	0.039521	26693486	South Asia
01/01/2000	Afghanistan	1	01/01/2005	119.6	0.1196	6.93	1146	0.074039363	57.071	0.034511	27614718	South Asia
01/01/2000	Afghanistan	1	01/01/2006	116.3	0.1163	6.702	1173	0.023560209	57.582	0.029197	28420974	South Asia
01/01/2000	Afghanistan	1	01/01/2007	113.2	0.1132	6.456	1298	0.106564365	58.102	0.025505	29145841	South Asia
01/01/2000	Afghanistan	1	01/01/2008	110.4	0.1104	6.196	1311	0.010015408	58.618	0.023817	29839994	South Asia
01/01/2000	Afghanistan	1	01/01/2009	107.6	0.1076	5.928	1548	0.180778032	59.124	0.024724	30577756	South Asia
01/01/2010	Afghanistan	1	01/01/2010	105	0.105	5.659	1637	0.05749354	59.612	0.027274	31411743	South Asia
01/01/2010	Afghanistan	1	01/01/2011	102.3	0.1023	5.395	1695	0.035430666	60.079	0.030133	32358260	South Asia
01/01/2010	Afghanistan	1	01/01/2012	99.5	0.0995	5.141	1893	0.116814159	60.524	0.032103	33397058	South Asia
01/01/2010	Afghanistan	1	01/01/2013	96.7	0.0967	4.9	1884	-0.004754358	60.947	0.033023	34499915	South Asia
01/01/1960	Albania	1	01/01/1964	122.67	0.12267	5.711	3023		65.475		1817098	Europe & Central Asia
01/01/1960	Albania	1	01/01/1965	120.09	0.12009	5.594	3129	0.035064505	65.863	0.029082	1869942	Europe & Central Asia
01/01/1960	Albania	1	01/01/1966	117.56	0.11756	5.483	3242	0.036113774	66.122	0.02837	1922993	Europe & Central Asia
01/01/1960	Albania	1	01/01/1967	115.09	0.11509	5.376	3359	0.036088834	66.316	0.027638	1976140	Europe & Central Asia
01/01/1960	Albania	1	01/01/1968	112.67	0.11267	5.268	3475	0.034534088	66.5	0.026908	2029314	Europe & Central Asia
01/01/1960	Albania	1	01/01/1969	110.3	0.1103	5.16	3587	0.032230216	66.702	0.026196	2082474	Europe & Central Asia
01/01/1970	Albania	1	01/01/1970	107.98	0.10798	5.05	3712	0.034848062	66.948	0.025511	2135599	Europe & Central Asia
01/01/1970	Albania	1	01/01/1971	105.71	0.10571	4.933	3849	0.036907328	67.251	0.024841	2188650	Europe & Central Asia
01/01/1970	Albania	1	01/01/1972	103.49	0.10349	4.809	3988	0.036113276	67.595	0.024204	2241623	Europe & Central Asia
01/01/1970	Albania	1	01/01/1973	101.31	0.10131	4.677	4174	0.04663992	67.966	0.023624	2294578	Europe & Central Asia
01/01/1970	Albania	1	01/01/1974	99.18	0.09918	4.538	4177	0.000718735	68.356	0.023111	2347607	Europe & Central Asia
01/01/1970	Albania	1	01/01/1975	97.1	0.0971	4.393	4178	0.000239406	68.748	0.022659	2400801	Europe & Central Asia
01/01/1970	Albania	1	01/01/1976	95.06	0.09506	4.244	4182	0.000957396	69.121	0.022265	2454255	Europe & Central Asia
01/01/1970	Albania	1	01/01/1977	93.06	0.09306	4.094	4188	0.00143472	69.459	0.021909	2508026	Europe & Central Asia
01/01/1970	Albania	1	01/01/1978	91.1	0.0911	3.947	4194	0.001432665	69.753	0.021569	2562121	Europe & Central Asia
01/01/1970	Albania	1	01/01/1979	84.7	0.0847	3.807	4201	0.001669051	70.001	0.021236	2616530	Europe & Central Asia
